id	lang	text
331310	ind	Ibu sedang masak di dapur.
331311	ind	Mary tidak punya teman bicara, tapi dia tidak merasa kesepian.
331312	ind	Mary adalah gadis yang enak diajak bicara.
331313	ind	Mary memutuskan untuk tidak akan menemuinya lagi.
331314	ind	Apakah Mary sudah mulai?
331315	ind	Mary sangat suka susu.
331316	ind	Mary belum mulai.
331317	ind	Mary gagal lagi. Meski begitu, dia masih muda.
331318	ind	Mary selalu membantu pacarnya mengerjakan tugas.
331319	ind	Pesawat ini mampu menampung 40 orang penumpang sekali terbang.
331320	ind	Harga tanah di Jepang mahal sekali.
331321	ind	Dilihat dari pesawat, pulau itu terlihat indah sekali.
331322	ind	Pulau itu ada di Jepang sebelah selatan.
331323	ind	Pulau itu ada di Jepang sebelah barat.
331324	ind	Pulau itu tertutup es dan salju selama musim dingin.
331325	ind	Pulau itu ditemukan oleh siapa?
331326	ind	Pulau itu dihantam topan.
331327	ind	Pulau itu mudah dijangkau dengan perahu.
331328	ind	Pulau itu bagaikan surga bagi anak-anak.
331329	ind	Setiap jengkal pulau telah dijelajahi.
331330	ind	Pulau itu terletak dua mil dari pantai.
331331	ind	Pulau itu terletak satu mil dari pantai.
331332	ind	Pulau itu hangat sepanjang tahun.
331333	ind	Pulau itu pernah diperintah Prancis.
331335	ind	Pada tahun 2020, populasi kota ini akan dua kali lipat.
331336	ind	Dua ratus orang meninggal karena kolera tahun lalu.
331348	ind	Tolong perlihatkan yang ini!
331349	ind	Siapa yang merusak ini?
331350	ind	Perempuan itu membeli daging ayam.
331351	ind	Perempuan itu suka burung atau bunga.
331352	ind	Perempuan itu membeli buku tentang burung.
331353	ind	Apakah dia tahan melakukan perjalanan jauh?
331354	ind	Perekam itu saya beli di toko ini.
331355	ind	Masalahnya bukan pada tujuan pendidikan tapi lebih kepada pelaksanaannya.
331356	ind	Masalahnya adalah kita tidak punya cukup uang.
331357	ind	Saya seharusnya membersihkan ruangan itu.
331358	ind	Saya simpati terhadap orang yang terkena penyakit itu.
331362	ind	Dibandingkan rumahnya, rumahku terlihat lebih kecil.
331363	ind	Rumahku menghadap selatan.
331364	ind	Rumahku dekat dengan Menara Tokyo.
331365	ind	Halaman rumahku sempit.
331366	ind	Rumahku berada di seberang jalan.
331367	ind	Rumahku dirancang agar tahan gempa.
331368	ind	Rumahku dekat dengan fasilitas yang nyaman di kota besar.
331369	ind	Keluargaku keluarga besar.
331370	ind	Rumahku besar.
331371	ind	Rumahku di sebelah utara kota.
331372	ind	Rumahku di samping pohon tinggi.
331373	ind	Rumahku di pinggiran kota.
331374	ind	Rumahku dekat sekali dengan taman.
331375	ind	Rumahku lama dan jelek.
331376	ind	Keluargaku keluarga lama.
331377	ind	Rumahku berada di atas bukit.
331378	ind	Karena rumahku di atas bukit, pemandangannya indah.
331379	ind	Rumahku menghadap laut.
331380	ind	Rumahku kebakaran.
331381	ind	Rumahku dekat stasiun.
331382	ind	Rumahku dekat sekali dengan stasiun.
331383	ind	Rumahku dekat stasiun dan nyaman.
331384	ind	Rumahku hanya 5 menit berjalan kaki dari stasiun.
331385	ind	Rumahku 10 menit berjalan kaki dari stasiun.
331386	ind	Rumahku agak jauh dari stasiun.
331389	ind	Rumahku dekat dengan pemberhentian bis.
331390	ind	Rumahku menghadap jalan ramai.
331391	ind	Rumahku selalu bergetar saat truk lewat.
331392	ind	Rumahku berada di daratan selatan sungai Thames.
331393	ind	Rumahku tepat di seberang jalan.
331394	ind	Rumahku sedikit masuk dari jalan itu.
331395	ind	Rumahku di pinggiran kota itu.
331396	ind	Rumahku jauh dari sini.
331397	ind	Rumahku 5 blok dari sini.
331398	ind	Rumahku di kampung.
331399	ind	Rumahku di seberang jembatan itu.
331400	ind	Rumahku di lantai 8.
331401	ind	Rumahku berlantai 2.
331402	ind	Rumahku mirip dengan rumahmu.
331403	ind	Di sebelah rumahku didirikan bangunan tinggi.
331404	ind	Di belakang rumahku ada kolam kecil.
331405	ind	Di depan rumahku ada danau.
331406	ind	Di halaman rumahku dulu ada kebun sayur.
331407	ind	Di depan rumahku ada kantor pos.
331408	ind	Di depan rumahku ada toko buku.
331409	ind	Di depan rumahku ada toko.
331410	ind	Di depan rumahku ada pohon besar.
331411	ind	Di depan rumahku ada taman umum.
331413	ind	Di depan rumahku sedang dibangun sebuah gedung.
331414	ind	Di depan rumahku ada pohon sakura.
331415	ind	Di atas rumahku jadi tenang.
331416	ind	Di belakang rumahku hutan.
331417	ind	Di belakang rumahku gereja.
331418	ind	Di dekat rumahku mengalir sungai kecil.
331419	ind	Di dekat rumahku ada taman indah.
331420	ind	Di dekat rumahku ada jalan besar.
331421	ind	Di dekat rumahku ada taman.
331422	ind	Di dekat rumahku ada sekolah.
331423	ind	Di dekat rumahku ada beberapa toko.
331424	ind	Di dekat rumahku tidak ada toko.
331425	ind	Di dekat rumahku ada taman bagus.
331426	ind	Di dekat rumahku ada apartemen.
331427	ind	Atap rumahku merah.
331428	ind	Kalau mau datang ke rumahku tolong telepon dulu.
331429	ind	Tolong datang ke rumahku.
331430	ind	Bisa datang ke rumah dan main piano?
331431	ind	Rumahku sudah diasuransikan penuh.
331432	ind	Di rumahku cuma ada halaman kecil.
331433	ind	Rumahku sudah punya asuransi kebakaran.
331434	ind	Di rumahku perabotannya sedikit.
331435	ind	Di rumahku memang ada hantunya.
331436	ind	Tutup pintu itu!
331437	ind	Tangannya terluka waktu jatuh.
331438	ind	Dia punya sawah luas di Colorado.
331439	ind	Dia tidak dapat berjalan lagi.
331440	ind	Saya tahu dia tidak dapat bekerja lagi.
331456	ind	Orang yang ingin berbicara denganmu sudah datang di bawah.
331457	ind	Saya senang sekali berjumpa denganmu.
331458	ind	Senang sekali berjumpa dengan anda, Pak Tamori.
331459	ind	Saya pikir, dia akan senang jika bertemu denganmu.
331461	ind	Saya merasa senang sekali berjumpa dengan anda.
331462	ind	Boleh minta tolong?
331463	ind	Aku ingin kamu buat teh untukku.
331464	ind	Saya merasa terhormat bisa berjumpa dengan anda.
331465	ind	Senang bisa bertemu denganmu.
331466	ind	Saya merasa senang sekali bertemu denganmu.
331467	ind	Senang bertemu denganmu. Saya tunggu kabar darimu.
331468	ind	Tak terpikir bisa berjumpa denganmu.
331469	ind	Saya berharap bisa bertemu denganmu.
331470	ind	Senang bertemu denganmu.
331471	ind	Wanita yang ingin bertemu denganmu sudah datang.
331472	ind	Berapa gaji yang harus kubayar, tergantung pada kemampuanmu.
331473	ind	Tertawa adalah obat paling mujarab.
331474	ind	Apakah tertawa hanya ada pada manusia?
331475	ind	Tertawa terbahak-bahak membuat gerahamku serasa mau lepas.
331476	ind	Peraturan seharusnya dipatuhi.
331477	ind	Kita harus taat peraturan.
331478	ind	Penting sekali mematuhi peraturan.
331480	ind	Peraturan mengharuskan setiap warga negara membayar pajak.
331481	ind	Peraturan mengatakan bahwa setiap warga negara sama.
331482	ind	Awas! Ada truk lewat!
331483	ind	Awas!
331484	ind	Hampir saja aku tertabrak mobil.
331485	ind	Kopinya kurang.
331486	ind	Kopi sebagai hidangan penutup.
331487	ind	Mau kopi atau teh?
331488	ind	Sebagian orang suka kopi, sebagian lagi suka teh.
331489	ind	Aku ingin sekali minum kopi.
331490	ind	Aku ingin minum kopi.
331491	ind	Kopinya tumpah.
331492	ind	Jika masih ada sisa kopi tolong berikan padaku.
331493	ind	Saya ingin meminum secangkir kopi.
331494	ind	Ingin minum kopi?
331495	ind	Gordon tertarik dengan gaya hidup Jepang.
331496	ind	Gordon melamun terus minggu ini.
331497	ind	Saat kamu memakai jas, biar aku yang membawa tasmu.
331498	ind	Biar kubantu memakai jas.
331499	ind	Pakai jasmu.
331500	ind	Lepaskan jasmu.
331501	ind	Sebaiknya kamu pakai jasmu.
331502	ind	Tolong lepas jasmu.
331503	ind	Lepas jasmu dan silakan bersantai.
331504	ind	Kenapa tidak kau lepas jasmu?
331505	ind	Boleh kubawakan jasmu?
331506	ind	Tolong gantung jasmu!
331507	ind	Gantung jasmu di penggantung baju.
331508	ind	Silakan taruh jasmu di bawah.
331509	ind	Boleh kugantungkan jasmu?
331510	ind	Kancing jasku lepas.
331511	ind	Salah satu kancing jasku lepas.
331512	ind	Saya ingin kursi di dekat jasku.
331513	ind	Tempat duduk berjarak kira-kira 50 yard dari jasku boleh juga.
331514	ind	Pelatih itu mengawasi berenangnya para perenang.
331515	ind	Pelatih itu menyuruh para perenang berenang 5 mil setiap hari.
331516	ind	Menurut pelatih, Bob adalah perenang bagus.
331517	ind	Ibunya guru bahasa Inggris.
331518	ind	Ibunya dulu seorang penyanyi.
331519	ind	Ibunya selalu mengeluh tentang hal itu.
331520	ind	Ayahnya memanggilnya Tom.
331521	ind	Sepertinya ayahnya sedang masuk rumah sakit.
331522	ind	Sepertinya ayahnya sedang di luar negeri.
331523	ind	Hobiku memancing ikan.
331524	ind	Hobiku mengoleksi perangko luar negeri.
331525	ind	Hobiku musik.
331526	ind	Hobiku mendengarkan musik.
331527	ind	Hobiku golf.
